Gene,sgRNA,OELOW|beta,OELOW|z,OELOW|p-value,OELOW|fdr,OELOW|wald-p-value,OELOW|wald-fdr,OEHIGH|beta,OEHIGH|z,OEHIGH|p-value,OEHIGH|fdr,OEHIGH|wald-p-value,OEHIGH|wald-fdr
ACSS1,8,-0.081679,-0.24408,0.72638,0.94105,0.80717,0.89895,0.17397,0.52155,0.13976,0.45708,0.60198,0.99611
CIDEA,8,0.04297,0.19262,0.97507,0.9947,0.84726,0.91837,0.20246,0.90965,0.091207,0.35825,0.36301,0.99611
KDM4C,8,0.41791,1.418,0.34252,0.78118,0.15619,0.36537,-0.29496,-0.99874,0.48852,0.78825,0.31792,0.99611
GALNT12,8,0.16542,0.84078,0.77165,0.95292,0.40047,0.61277,0.001441,0.0073293,0.60991,0.85197,0.99415,0.99613
IDS,8,0.04087,0.11518,0.97211,0.9947,0.9083,0.95433,0.13499,0.38058,0.21982,0.55065,0.70352,0.99611
GPD2,8,0.76788,1.9134,0.072178,0.45738,0.055703,0.21628,0.33868,0.84377,0.0075459,0.077966,0.3988,0.99611
VKORC1,8,1.466,1.7599,0.00065617,0.015873,0.078431,0.26299,0.22618,0.27142,0.060367,0.28483,0.78607,0.99611
ACOT12,8,-0.49649,-1.7124,0.17552,0.61231,0.086818,0.27295,-0.17593,-0.60792,0.81398,0.95021,0.54324,0.99611
ADI1,8,0.11117,0.36512,0.88058,0.98851,0.71502,0.84374,-0.093668,-0.30769,0.92487,0.98326,0.75832,0.99611
GXYLT1,8,0.23573,1.1082,0.63091,0.90879,0.26776,0.4893,-0.29564,-1.3884,0.48819,0.78825,0.165,0.82073
AK2,8,0.15563,0.44809,0.78675,0.95576,0.65409,0.80666,0.0095556,0.027522,0.57776,0.83082,0.97804,0.99611
CYP4V2,8,0.047785,0.1734,0.9836,0.9947,0.86234,0.9268,-0.0028503,-0.01035,0.62238,0.86018,0.99174,0.99611
GALNT14,8,0.47753,0.95913,0.26575,0.7346,0.33749,0.55658,0.27396,0.55047,0.024606,0.1693,0.582,0.99611
FABP4,8,0.52876,1.5639,0.21227,0.66291,0.11784,0.31535,0.18557,0.54887,0.1168,0.41109,0.5831,0.99611
GALNT13,8,0.30654,0.75703,0.5082,0.87158,0.44903,0.65392,0.079902,0.19763,0.3586,0.68829,0.84333,0.99611
PAOX,8,0.053266,0.12706,0.99475,0.99704,0.89889,0.94631,0.018893,0.045087,0.55085,0.8188,0.96404,0.99611
CHST5,8,0.63452,1.635,0.12959,0.56028,0.10205,0.29286,-0.042884,-0.11033,0.75525,0.92823,0.91215,0.99611
