Gene,sgRNA,OELOW|beta,OELOW|z,OELOW|p-value,OELOW|fdr,OELOW|wald-p-value,OELOW|wald-fdr,OEHIGH|beta,OEHIGH|z,OEHIGH|p-value,OEHIGH|fdr,OEHIGH|wald-p-value,OEHIGH|wald-fdr
MMADHC,8,0.30333,0.93313,0.51083,0.87158,0.35075,0.56776,0.14604,0.44959,0.20013,0.53275,0.653,0.99611
MRCH1,8,-0.090887,-0.48222,0.70472,0.9316,0.62965,0.78968,0.0081255,0.04314,0.58301,0.8331,0.96559,0.99611
CEPT1,8,-0.3525,-1.1857,0.30741,0.75968,0.23572,0.45997,-0.068485,-0.23238,0.84088,0.96161,0.81625,0.99611
STEAP4,8,0.82911,2.6797,0.051837,0.37002,0.0073698,0.066855,0.22041,0.71233,0.065617,0.29586,0.47626,0.99611
LYZL6,8,0.24176,0.88855,0.61778,0.89967,0.37425,0.5886,-0.018069,-0.066456,0.66929,0.88503,0.94701,0.99611
CA10,8,0.19879,0.93932,0.69948,0.931,0.34757,0.5644,0.13343,0.63061,0.22211,0.5522,0.52829,0.99611
ECHDC1,8,0.29014,1.3901,0.53117,0.87466,0.16449,0.37723,0.27838,1.3342,0.021982,0.15691,0.18215,0.85105
ACOT2,8,0.65793,1.9906,0.11745,0.5416,0.046527,0.19812,0.18765,0.56773,0.11385,0.4068,0.57022,0.99611
PIGS,8,-1.2684,-5.2623,0.0029528,0.054545,1.42E-07,5.04E-06,-0.7541,-3.145,0.044619,0.2446,0.0016608,0.022659
ATP11A,8,-0.62347,-1.6655,0.099081,0.52048,0.095805,0.28517,-0.0039172,-0.01049,0.62402,0.86024,0.99163,0.99611
PTGFRN,8,0.093351,0.35464,0.91667,0.99138,0.72286,0.84742,-0.09254,-0.35236,0.92126,0.98255,0.72457,0.99611
PNPLA4,8,0.30432,1.2585,0.50984,0.87158,0.20821,0.43202,0.19121,0.79096,0.10794,0.39474,0.42897,0.99611
PPAPDC2,8,0.63104,2.302,0.13222,0.56443,0.021336,0.13119,0.14951,0.5447,0.1893,0.51656,0.58596,0.99611
MTR,8,0.66802,1.3259,0.1122,0.53858,0.18489,0.40339,0.084622,0.16792,0.34383,0.67482,0.86665,0.99611
PTGES2,8,-0.58345,-1.989,0.12139,0.54815,0.046702,0.19812,-0.36139,-1.2356,0.35761,0.68726,0.21659,0.91931
CPT2,8,-0.17491,-0.59431,0.55151,0.87689,0.55231,0.73161,0.30725,1.0654,0.011155,0.095238,0.2867,0.99371
GLT6D1,8,-0.11078,-0.66099,0.66864,0.92134,0.50862,0.6984,0.074607,0.44555,0.37369,0.69939,0.65592,0.99611
GYG2,8,0.21777,1.105,0.66175,0.9204,0.26914,0.49123,0.27815,1.4121,0.021982,0.15691,0.15793,0.80792
ATP1B4,8,-0.376,-2.3294,0.28445,0.74153,0.019836,0.12675,-0.037844,-0.23593,0.73983,0.91891,0.81348,0.99611
SERPINA1,8,0.58117,2.3769,0.16896,0.60829,0.01746,0.1167,0.097105,0.39707,0.31562,0.6571,0.69132,0.99611
ALDH2,8,0.41467,1.5767,0.34482,0.78141,0.11487,0.31272,-0.14149,-0.53787,0.92126,0.98255,0.59066,0.99611
GRIN2A,8,0.75174,2.4219,0.07874,0.47525,0.015438,0.10899,-0.0415,-0.1335,0.75098,0.92522,0.8938,0.99611
SLC38A6,8,0.48542,1.4565,0.25394,0.71759,0.14527,0.3528,0.31396,0.94269,0.0098425,0.089021,0.34584,0.99611
FMO5,8,0.2317,0.78261,0.63648,0.91131,0.43386,0.64101,-0.26947,-0.90915,0.55217,0.8188,0.36327,0.99611
PNPLA2,8,0.24123,0.88949,0.61909,0.89986,0.37374,0.58847,0.0023729,0.008752,0.60499,0.84626,0.99302,0.99613
KCNH7,8,0.27195,1.0853,0.56299,0.88,0.27779,0.50012,-0.071844,-0.28673,0.84941,0.96177,0.77432,0.99611
PLA2G1B,8,0.21633,1.1279,0.66503,0.9204,0.25936,0.48233,0.032746,0.17082,0.50853,0.79774,0.86437,0.99611
GPT,8,-0.2861,-2.1015,0.38976,0.80995,0.035596,0.17277,-0.16401,-1.2066,0.85564,0.96273,0.22759,0.93737
PLCZ1,8,0.10791,0.46542,0.8878,0.98851,0.64163,0.79759,0.052299,0.22585,0.44554,0.75851,0.82132,0.99611
TERGENIC103755,1,0.66609,0.91328,0.39698,0.81287,0.3611,0.57685,0.50566,0.69331,0.13517,0.44685,0.48812,0.99611
CHSY1,8,0.84945,1.9124,0.044948,0.34673,0.055828,0.21649,-0.056705,-0.1276,0.80413,0.94816,0.89846,0.99611
OASL,8,0.80886,2.2679,0.055774,0.38117,0.023337,0.13653,0.18758,0.52551,0.11417,0.40702,0.59923,0.99611
ENTPD2,8,-0.86263,-3.3949,0.031824,0.29573,0.00068643,0.0096863,-0.4305,-1.6966,0.25459,0.58967,0.08977,0.5665
SRM,8,-0.96151,-3.6157,0.020013,0.22932,0.00029949,0.0048815,-1.4866,-5.5872,0.00065617,0.011905,2.31E-08,1.26E-06
PLB1,8,-0.090592,-0.27618,0.70538,0.9316,0.78241,0.8849,-0.22846,-0.6983,0.6542,0.87418,0.48499,0.99611
PLA2G3,8,0.36322,1.0928,0.41667,0.82406,0.27449,0.49564,-0.007827,-0.023547,0.63615,0.86563,0.98121,0.99611
ACAT1,8,-0.027347,-0.16232,0.82907,0.97458,0.87105,0.93059,0.22423,1.3321,0.062664,0.29072,0.18282,0.85105
PDE4D,8,0.54368,1.5507,0.19751,0.64592,0.12098,0.31898,0.046337,0.13197,0.46325,0.76906,0.89501,0.99611
SLC2A1,8,0.40778,1.7385,0.35335,0.78843,0.082119,0.26913,-0.80018,-3.4098,0.033136,0.2016,0.00065015,0.009859
SCD5,8,0.28472,1.2273,0.54003,0.87689,0.2197,0.44259,0.19262,0.83063,0.10663,0.39299,0.40618,0.99611
SLCO3A1,8,-0.14146,-0.7725,0.60892,0.89705,0.43982,0.64594,0.026887,0.14699,0.52887,0.81046,0.88314,0.99611
SLC46A2,8,0.054683,0.20348,0.99672,0.99803,0.83876,0.91302,0.16095,0.59916,0.16503,0.49027,0.54907,0.99611
DHDH,8,0.80862,1.5013,0.055774,0.38117,0.13327,0.33543,0.16053,0.29803,0.16503,0.49027,0.76568,0.99611
VAT1L,8,-0.0050526,-0.017697,0.87467,0.98522,0.98588,0.99403,-0.52514,-1.8383,0.1601,0.48703,0.066022,0.45528
SIRT4,8,1.0929,2.7988,0.0085302,0.12093,0.0051298,0.050601,-0.1511,-0.38664,0.89075,0.97557,0.69903,0.99611
CKM,8,0.071308,0.42073,0.96883,0.9947,0.67395,0.81525,-0.12437,-0.73414,0.9708,0.99263,0.46287,0.99611
PPIP5K1,8,0.16468,0.63016,0.77231,0.95292,0.52859,0.71543,0.030293,0.11603,0.51739,0.80295,0.90763,0.99611
LPPR2,8,-0.18674,-0.90395,0.53609,0.87574,0.36602,0.58104,-0.32152,-1.5571,0.42881,0.74572,0.11945,0.68308
CYP2U1,8,0.43088,1.5301,0.32415,0.77067,0.12599,0.32769,0.12719,0.45173,0.23917,0.57537,0.65146,0.99611
ALOXE3,8,-0.51427,-2.0501,0.16634,0.60791,0.04035,0.18545,-0.081518,-0.32656,0.88287,0.97327,0.744,0.99611
TRPV3,8,-0.40133,-1.5059,0.25984,0.72727,0.13209,0.33411,-0.32053,-1.206,0.42979,0.74601,0.22781,0.93737
CACNA2D3,8,0.76578,2.1093,0.073819,0.46488,0.034923,0.17141,-0.10595,-0.29063,0.9626,0.99224,0.77134,0.99611
PDE1A,8,0.35593,1.2452,0.42684,0.82868,0.21305,0.43612,0.12086,0.42285,0.25427,0.58967,0.6724,0.99611
HADH,8,0.2365,0.73816,0.62992,0.90823,0.46042,0.66357,0.022901,0.071519,0.5397,0.81114,0.94298,0.99611
CA6,8,-0.36918,-1.6886,0.29003,0.74473,0.091296,0.27888,0.061112,0.28054,0.41535,0.73605,0.77906,0.99611
LIPJ,8,0.27738,0.95373,0.55413,0.87844,0.34022,0.55842,0.080338,0.27629,0.35663,0.68667,0.78232,0.99611
KCNV1,8,0.88901,1.9706,0.035433,0.31304,0.048765,0.20223,0.0053705,0.011855,0.59482,0.8413,0.99054,0.99611
CLIC4,8,0.095712,0.51135,0.91273,0.99074,0.6091,0.77292,-0.12207,-0.65235,0.97867,0.99466,0.51418,0.99611
PLD3,8,-0.92597,-2.6987,0.023294,0.24912,0.0069612,0.063526,-0.82139,-2.4032,0.027559,0.18261,0.016253,0.16137
KCNK12,8,0.33483,1.5396,0.46457,0.85322,0.12367,0.32481,-0.12623,-0.58017,0.96424,0.99224,0.5618,0.99611
DIRC2,8,-0.18964,-0.78897,0.53117,0.87466,0.43013,0.63735,-0.28598,-1.1915,0.5082,0.79763,0.23346,0.94626
SLC4A7,8,2.7394,0.84794,0,0,0.39647,0.6091,-1.4764,-0.44922,0.00065617,0.011905,0.65328,0.99611
SLC16A13,8,0.26342,1.1935,0.57841,0.88655,0.23268,0.45721,-0.093147,-0.42202,0.92356,0.98255,0.67301,0.99611
SLC30A4,8,0.23128,1.1672,0.63714,0.91131,0.24313,0.4679,0.25659,1.2954,0.035433,0.21218,0.19518,0.87126
ATP2C2,8,0.397,1.9384,0.36778,0.79181,0.052573,0.20892,-0.17945,-0.87589,0.80184,0.94619,0.38109,0.99611
UPP1,8,-0.17529,-0.70088,0.55085,0.87689,0.48338,0.68115,0.11705,0.46861,0.26148,0.59259,0.63935,0.99611
GPD1,8,0.58509,1.2262,0.16437,0.60434,0.22014,0.4429,-0.40815,-0.85316,0.28412,0.6199,0.39357,0.99611
PIGT,8,-0.329,-1.0018,0.33432,0.77803,0.31642,0.5352,-0.43509,-1.3268,0.2477,0.58256,0.18456,0.85176
PDE3A,8,0.010485,0.038857,0.91207,0.99038,0.969,0.9863,-0.36148,-1.3395,0.35728,0.68707,0.1804,0.84854
SLC2A4,8,-0.098934,-0.40808,0.68734,0.92854,0.68322,0.8231,-0.2489,-1.0283,0.60072,0.84339,0.30382,0.99611
GNS,8,0.03483,0.16603,0.95768,0.99425,0.86813,0.92998,0.042594,0.20328,0.47835,0.78315,0.83892,0.99611
AKR1C3,8,0.41958,1.7197,0.34055,0.78104,0.085491,0.27257,0.17769,0.72835,0.13091,0.43654,0.4664,0.99611
ACSL3,8,-0.011263,-0.044515,0.86319,0.98136,0.96449,0.98419,-0.53559,-2.1112,0.15486,0.4841,0.034754,0.28476
ALKBH7,8,0.73465,2.0694,0.081365,0.48249,0.038507,0.18082,0.075461,0.21252,0.37303,0.69939,0.8317,0.99611
TERGENIC12191,1,0.052705,0.029781,0.92192,0.99138,0.97624,0.98998,0.26481,0.14963,0.52822,0.81027,0.88106,0.99611
DGKB,8,0.28884,0.87848,0.53412,0.8748,0.37968,0.59558,0.076603,0.23342,0.36975,0.69716,0.81543,0.99611
SLC5A8,8,0.42356,2.6531,0.33465,0.77803,0.0079759,0.070402,0.15307,0.95885,0.18209,0.50857,0.33764,0.99611
KHK,8,0.54152,2.5447,0.20013,0.64963,0.010939,0.08797,0.15757,0.74043,0.16929,0.4976,0.45904,0.99611
GCSH,8,0.11801,0.52968,0.86647,0.98325,0.59633,0.76393,-0.30962,-1.3891,0.45636,0.76555,0.1648,0.82073
BHMT,8,0.041647,0.19708,0.9731,0.9947,0.84376,0.91524,-0.010148,-0.048142,0.64403,0.8682,0.9616,0.99611
PPARD,8,-0.30309,-1.1999,0.36549,0.79181,0.23016,0.45436,-0.21303,-0.8458,0.70144,0.89648,0.39766,0.99611
PDE11A,8,0.54942,2.3584,0.19259,0.63323,0.018354,0.12083,0.24503,1.0519,0.045932,0.24867,0.29285,0.99611
GABRB3,8,0.94846,2.4144,0.024934,0.25939,0.015763,0.10983,0.12503,0.31672,0.24475,0.58147,0.75146,0.99611
GABRP,8,0.80571,2.0132,0.057087,0.38839,0.04409,0.19308,0.17215,0.42856,0.14239,0.46129,0.66824,0.99611
SULT2A1,8,0.27447,1.2234,0.55971,0.87963,0.2212,0.44443,-0.22034,-0.98112,0.6811,0.89093,0.32654,0.99611
NT5C1B,8,0.13524,0.73051,0.82972,0.97458,0.46508,0.6674,-0.21567,-1.165,0.69619,0.89536,0.24403,0.9631
TERGENIC120340,1,0.30551,0.17979,0.70505,0.9316,0.85731,0.92401,0.47181,0.27766,0.17356,0.50047,0.78127,0.99611
CLIC1,8,0.27819,1.276,0.55249,0.878,0.20196,0.42571,0.089838,0.41234,0.33169,0.6634,0.68009,0.99611
SLC1A6,8,0.32366,1.6496,0.48064,0.86227,0.099022,0.29014,-0.098853,-0.50366,0.94226,0.99036,0.6145,0.99611
KCTD6,8,-0.24817,-0.94035,0.44291,0.83903,0.34704,0.5644,0.046716,0.17763,0.46161,0.76718,0.85901,0.99611
HAS2,8,0.82376,2.5023,0.053478,0.37731,0.012339,0.094971,0.27861,0.84615,0.021654,0.15529,0.39747,0.99611
TP53I3,8,0.1645,0.51177,0.77264,0.95292,0.60882,0.77287,-0.29629,-0.92146,0.48622,0.78704,0.35681,0.99611
PHGDH,8,0.25989,1.0881,0.58399,0.88911,0.27654,0.49866,-0.091093,-0.38139,0.91437,0.98238,0.70291,0.99611
RHCG,8,0.69703,1.7448,0.099738,0.52048,0.081023,0.26869,0.18149,0.45398,0.12533,0.43018,0.64984,0.99611
DEGS2,8,0.18676,1.0447,0.72343,0.94105,0.29618,0.51665,0.16345,0.91436,0.15945,0.48651,0.36053,0.99611
KCNK6,8,0.25978,1.025,0.58432,0.88917,0.30535,0.52528,-0.052792,-0.20832,0.78839,0.94339,0.83498,0.99611
TERGENIC70589,1,-0.11737,-0.073044,0.91831,0.99138,0.94177,0.97174,0.46313,0.28823,0.18438,0.50857,0.77317,0.99611
COLGALT2,8,0.0005492,0.0027991,0.88845,0.98851,0.99777,0.99966,-0.21719,-1.1075,0.69291,0.89489,0.2681,0.98689
DGKQ,8,-0.0064906,-0.022933,0.87336,0.9852,0.9817,0.99278,-0.19118,-0.67559,0.77165,0.93668,0.4993,0.99611
DGKH,8,0.30306,1.2805,0.51181,0.87158,0.20038,0.42469,0.4216,1.7839,0.0013123,0.020408,0.074434,0.49428
NADSYN1,8,-0.62468,-1.8082,0.099081,0.52048,0.070571,0.24583,-0.34787,-1.0098,0.37927,0.70506,0.31257,0.99611
GBGT1,8,0.21958,1.1533,0.65814,0.9204,0.24879,0.47343,-0.11271,-0.59203,0.98524,0.99504,0.55383,0.99611
SLC43A1,8,-0.33089,-1.6276,0.33169,0.7765,0.10361,0.29514,-0.091532,-0.45183,0.91601,0.98241,0.65139,0.99611
CYP4A11,8,0.053893,0.22748,0.99541,0.99704,0.82005,0.90495,0.18812,0.79637,0.11385,0.4068,0.42582,0.99611
TRPV1,8,0.15243,0.70546,0.79528,0.95924,0.48052,0.67996,0.099453,0.46062,0.30971,0.65059,0.64507,0.99611
TYW5,8,0.25102,0.92944,0.59941,0.89427,0.35266,0.56902,-0.038742,-0.14348,0.74245,0.92033,0.88591,0.99611
NPC1L1,8,0.11484,0.28909,0.87238,0.9852,0.77251,0.88021,-0.025274,-0.063669,0.69521,0.89489,0.94923,0.99611
NME1,8,-0.21304,-0.53207,0.49475,0.86583,0.59468,0.76287,-0.42895,-1.0729,0.25656,0.59063,0.2833,0.99151
ADH7,8,0.38154,0.91981,0.38911,0.80995,0.35767,0.57378,0.14597,0.35204,0.20013,0.53275,0.72481,0.99611
MAN2B2,8,0.4919,1.9804,0.24606,0.70822,0.047663,0.20018,0.12824,0.51629,0.23392,0.56677,0.60565,0.99611
SLC25A35,8,0.016209,0.065288,0.9229,0.99138,0.94794,0.97505,-0.1073,-0.43237,0.96686,0.99226,0.66547,0.99611
SCN2A,8,-0.01846,-0.08907,0.84777,0.97939,0.92903,0.96545,-0.037761,-0.18256,0.73917,0.91847,0.85514,0.99611
TCN2,8,-0.45227,-1.9419,0.21424,0.66565,0.052146,0.20804,-0.16653,-0.72224,0.84744,0.96177,0.47015,0.99611
SLC39A5,8,-0.28493,-0.80531,0.39075,0.8102,0.42064,0.6285,-0.52594,-1.4872,0.15912,0.48651,0.13696,0.74413
FRRS1,8,0.1009,0.44754,0.90223,0.98851,0.65449,0.80666,0.0080833,0.035884,0.58333,0.8331,0.97137,0.99611
ALDH7A1,8,-0.30282,-1.868,0.36549,0.79181,0.061758,0.22808,0.036935,0.22942,0.49672,0.79019,0.81854,0.99611
CACNB1,8,0.037687,0.17079,0.96424,0.99425,0.86439,0.9277,-0.14634,-0.66448,0.90879,0.98229,0.50638,0.99611
KCNE3,8,0.53932,2.6055,0.20243,0.65153,0.0091737,0.077241,0.059802,0.28887,0.4206,0.74018,0.77268,0.99611
MAN1A2,8,0.14697,0.57598,0.80282,0.96112,0.56463,0.73957,-0.28203,-1.1044,0.52034,0.80467,0.2694,0.98689
FAR2,8,0.83415,1.9836,0.050525,0.36493,0.047302,0.19942,0.14811,0.35184,0.19357,0.52255,0.72496,0.99611
PDE4B,8,0.11136,0.66547,0.87959,0.9882,0.50575,0.69608,0.15428,0.9229,0.17848,0.50746,0.35606,0.99611
BEST4,8,0.15637,0.85814,0.78445,0.95449,0.39081,0.60577,-0.047444,-0.26043,0.771,0.93663,0.79453,0.99611
GLT1D1,8,-0.050842,-0.23243,0.78346,0.95447,0.8162,0.90366,0.081704,0.3744,0.35203,0.68338,0.70811,0.99611
COMT,8,0.0022029,0.012864,0.89239,0.98851,0.98974,0.99642,-0.051036,-0.29813,0.78248,0.94261,0.7656,0.99611
EPHX3,8,0.74318,2.8862,0.079396,0.47732,0.0038997,0.040122,-0.096215,-0.37314,0.9334,0.98682,0.70905,0.99611
APOBR,8,-0.32385,-1.1714,0.33924,0.78071,0.24145,0.46727,-0.60362,-2.1841,0.10466,0.38902,0.028957,0.24862
SLC8B1,8,0.20855,0.74673,0.67881,0.92614,0.45523,0.65822,-0.019684,-0.07049,0.67421,0.88769,0.9438,0.99611
SLC24A2,8,-0.35595,-1.3121,0.30413,0.75366,0.18949,0.40875,0.11524,0.4252,0.26509,0.59675,0.67069,0.99611
TERGENIC136172,1,0.8525,0.74654,0.28248,0.74153,0.45534,0.65822,0.11028,0.096576,0.85039,0.96178,0.92306,0.99611
KCND3,8,0.24921,1.0573,0.60367,0.89625,0.29036,0.51381,-0.10638,-0.45133,0.96391,0.99224,0.65175,0.99611
PLCL1,8,0.20474,1.103,0.68865,0.92854,0.27001,0.49192,0.33632,1.8147,0.0082021,0.082781,0.069564,0.4691
FMO2,8,0.59459,1.7542,0.15814,0.59387,0.079402,0.26537,0.16457,0.48545,0.15682,0.48528,0.62736,0.99611
STEAP3,8,-0.45398,-1.5825,0.2126,0.66325,0.11354,0.31121,-0.25054,-0.87695,0.59613,0.84189,0.38051,0.99611
ACAD10,8,0.037846,0.16244,0.96457,0.99425,0.87096,0.93059,-0.29516,-1.267,0.48819,0.78825,0.20514,0.8947
SULF2,8,0.20262,0.83205,0.69291,0.92917,0.40538,0.61427,0.1331,0.54702,0.2231,0.55321,0.58437,0.99611
MIP,8,0.097675,0.44402,0.90682,0.98892,0.65703,0.80784,-0.14178,-0.6455,0.92028,0.98255,0.5186,0.99611
RDH10,8,-0.27848,-1.0377,0.39928,0.81287,0.2994,0.51978,-0.15331,-0.57459,0.88386,0.97327,0.56557,0.99611
GK,8,0.43382,1.6141,0.31923,0.76856,0.10652,0.2995,0.17524,0.65204,0.13648,0.44973,0.51437,0.99611
KCNA2,8,-0.23275,-0.75017,0.46752,0.85322,0.45316,0.65672,-0.20959,-0.67674,0.71161,0.9015,0.49857,0.99611
NAT8B,8,0.11642,0.44644,0.86909,0.98439,0.65528,0.80666,-0.18187,-0.69749,0.79692,0.94339,0.4855,0.99611
SLC22A4,8,0.2093,0.58433,0.67782,0.92604,0.559,0.73495,-0.082651,-0.23085,0.88911,0.97517,0.81743,0.99611
AKR1A1,8,0.30792,1.2622,0.50459,0.86991,0.20686,0.43126,-0.17089,-0.70047,0.82972,0.95652,0.48364,0.99611
LBR,8,0.46336,1.2916,0.28182,0.74153,0.19648,0.41939,-0.22998,-0.64003,0.64993,0.87115,0.52215,0.99611
CHKA,8,0.927,2.6763,0.029199,0.28213,0.0074435,0.067323,-0.0023808,-0.0068693,0.62041,0.85994,0.99452,0.99613
VAMP7,8,-0.20006,-0.70456,0.51214,0.87158,0.48109,0.67999,0.1114,0.39396,0.27526,0.60797,0.69361,0.99611
PDE6B,8,0.75213,2.6523,0.07874,0.47525,0.0079953,0.070402,0.17896,0.63081,0.12828,0.43348,0.52816,0.99611
SGMS1,8,-0.17889,-0.77761,0.54429,0.87689,0.4368,0.64379,0.11372,0.49523,0.26936,0.59971,0.62044,0.99611
KCNS2,8,0.90402,1.9387,0.033136,0.30088,0.052533,0.20892,0.17471,0.37397,0.1378,0.45356,0.70843,0.99611
SUCLA2,8,-0.59269,-2.2988,0.11516,0.5416,0.021518,0.13196,-0.16173,-0.62956,0.86122,0.96401,0.52898,0.99611
STAR,8,1.0263,2.5898,0.01378,0.17213,0.0096026,0.080331,0.037795,0.095353,0.49442,0.79019,0.92403,0.99611
PC,8,0.61435,2.4913,0.1437,0.58039,0.012726,0.097215,-0.32903,-1.3338,0.4147,0.73605,0.18225,0.85105
KCNJ1,8,0.29743,1.6218,0.51969,0.87164,0.10485,0.29702,0.19626,1.0713,0.10072,0.38279,0.28403,0.99151
UGT2A3,8,0.68845,2.3167,0.10367,0.52843,0.020521,0.12897,0.31557,1.0619,0.0091864,0.083582,0.28828,0.99611
PIK3CD,8,0.17861,0.82117,0.74114,0.94664,0.41155,0.61944,-0.048103,-0.22149,0.77297,0.93678,0.82471,0.99611
TERGENIC112223,1,-0.17687,-0.13928,0.86778,0.984,0.88923,0.94175,0.48074,0.37858,0.16404,0.49027,0.705,0.99611
PPOX,8,-0.50027,-1.6533,0.17257,0.60829,0.098277,0.28897,-0.54759,-1.8127,0.14665,0.47053,0.069872,0.47013
PTGES3,8,-0.46813,-1.4211,0.2021,0.65153,0.1553,0.36383,-0.79533,-2.4153,0.034121,0.20594,0.015724,0.15766
SLCO1B3,8,0.1743,0.68157,0.74934,0.9485,0.49551,0.6894,0.10843,0.42446,0.28412,0.6199,0.67123,0.99611
XDH,8,0.0096147,0.038679,0.90945,0.98894,0.96915,0.9863,-0.30436,-1.2246,0.46883,0.77531,0.22072,0.92564
SULT4A1,8,0.12482,0.47338,0.85236,0.97939,0.63594,0.79376,0.018062,0.068502,0.55381,0.8188,0.94539,0.99611
KCNK15,8,-0.14947,-1.0803,0.59613,0.89375,0.28001,0.50289,0.085571,0.61852,0.34055,0.67011,0.53623,0.99611
LYZL2,6,1.2216,2.1121,0.011811,0.15789,0.03468,0.17049,0.32262,0.55769,0.027887,0.18359,0.57706,0.99611
NUDT4,8,-0.40562,-1.4997,0.25591,0.72089,0.13369,0.33594,-0.62002,-2.2955,0.097769,0.37343,0.021707,0.19742
ETFDH,8,0.16019,0.58867,0.77657,0.95292,0.55608,0.73279,-0.051075,-0.18774,0.78281,0.94261,0.85108,0.99611
KCTD17,8,0.51096,1.4137,0.22703,0.68719,0.15745,0.36746,-0.24798,-0.68586,0.60203,0.84368,0.4928,0.99611
SLC25A10,8,-0.024903,-0.12897,0.83301,0.97616,0.89738,0.94631,-0.2501,-1.2955,0.59744,0.84189,0.19516,0.87126
GCNT7,8,-0.46556,-1.7668,0.20538,0.65687,0.077263,0.25993,0.077889,0.29797,0.3668,0.69657,0.76573,0.99611
RDH16,8,0.22122,1.3009,0.65322,0.91921,0.19331,0.41493,-0.091849,-0.54019,0.91634,0.98241,0.58906,0.99611
SLC25A19,8,0.45231,1.782,0.29626,0.75,0.07475,0.25542,-0.51412,-2.0175,0.16995,0.4976,0.043648,0.33939
DHRS4L2,8,0.6233,1.9434,0.13845,0.57682,0.051962,0.20758,0.23141,0.72153,0.057087,0.28125,0.47058,0.99611
TERGENIC14666,1,-0.83868,-0.67216,0.47638,0.85917,0.50148,0.69304,0.30215,0.24216,0.45013,0.76053,0.80866,0.99611
UROS,8,-1.0946,-4.903,0.007874,0.11374,9.44E-07,2.85E-05,-0.31772,-1.4436,0.43898,0.75551,0.14884,0.78144
CBS,8,0.37755,1.5881,0.39436,0.81271,0.11226,0.30966,0.075849,0.31912,0.37106,0.69815,0.74963,0.99611
B3GNT3,8,0.4593,1.7287,0.28543,0.74153,0.083858,0.27076,-0.49182,-1.8493,0.18504,0.50857,0.064411,0.45029
RDH14,8,0.23649,1.2489,0.62992,0.90823,0.2117,0.4354,0.2504,1.3226,0.040026,0.22804,0.18596,0.85176
GCNT2,8,0.35087,1.5614,0.43504,0.83239,0.11843,0.31609,0.13007,0.57897,0.23031,0.5616,0.56261,0.99611
SLC39A12,8,1.0419,1.5331,0.012467,0.16034,0.12524,0.3271,0.33104,0.48606,0.0088583,0.083582,0.62693,0.99611
SLC16A9,8,0.83752,1.8085,0.049213,0.36058,0.070533,0.24583,0.41044,0.8862,0.0013123,0.020408,0.37551,0.99611
TST,8,0.30872,1.494,0.50427,0.86991,0.13518,0.33719,0.014472,0.070037,0.56627,0.82513,0.94416,0.99611
GUCY2C,8,0.49069,2.7473,0.24836,0.71161,0.0060088,0.056702,0.15042,0.84221,0.18668,0.51215,0.39967,0.99611
ACOT7,8,0.15404,0.55383,0.79232,0.95838,0.57969,0.75155,-0.086358,-0.31061,0.90092,0.98177,0.7561,0.99611
FUCA1,8,0.46713,1.0549,0.28018,0.74153,0.29149,0.51381,0.25211,0.56942,0.039042,0.22538,0.56907,0.99611
WBSCR17,8,-0.37001,-1.6046,0.2897,0.74452,0.10859,0.30255,0.0048347,0.021086,0.59678,0.84189,0.98318,0.99611
PIGZ,8,0.36659,1.3511,0.41142,0.82014,0.17666,0.39161,0.19915,0.73417,0.095472,0.36742,0.46285,0.99611
NDUFS4,8,-0.090779,-0.30149,0.70472,0.9316,0.76304,0.87368,-0.14519,-0.48316,0.91142,0.98232,0.62898,0.99611
SLC22A5,8,-0.097504,-0.42285,0.69226,0.92917,0.6724,0.81473,0.039443,0.17145,0.48983,0.78911,0.86387,0.99611
ACSS2,8,-0.24102,-1.0209,0.45505,0.8493,0.30729,0.52689,-0.13257,-0.56239,0.94554,0.99174,0.57385,0.99611
NDUFC1,8,-0.22694,-0.58535,0.47507,0.859,0.55831,0.73477,-0.6412,-1.6531,0.085958,0.3484,0.098306,0.60655
ALDH5A1,8,0.39003,1.2458,0.37336,0.79525,0.21284,0.43612,0.20403,0.65178,0.089567,0.35547,0.51454,0.99611
GLCE,8,0.45833,1.3676,0.28675,0.74153,0.17144,0.38518,-0.088297,-0.26311,0.90814,0.98229,0.79247,0.99611
NT5C1A,8,0.027802,0.12754,0.94455,0.99174,0.89851,0.94631,0.049757,0.22849,0.45177,0.76246,0.81927,0.99611
ADCY2,8,0.083083,0.47042,0.94062,0.99138,0.63806,0.79517,0.13113,0.74499,0.229,0.56064,0.45628,0.99611
IMPDH1,8,0.73028,2.4233,0.082677,0.48462,0.01538,0.10899,-0.17142,-0.56834,0.82907,0.95652,0.56981,0.99611
CYB5RL,8,-0.11139,-0.432,0.66732,0.9204,0.66574,0.81267,0.025192,0.098002,0.53314,0.81114,0.92193,0.99611
DCTD,8,-0.087267,-0.24576,0.71424,0.93715,0.80587,0.89895,-0.53065,-1.4937,0.15682,0.48528,0.13525,0.74413
ALMS1,8,-0.63554,-1.9101,0.093832,0.51146,0.056125,0.21699,-0.18808,-0.57302,0.78445,0.94261,0.56663,0.99611
SLC37A4,8,-0.064701,-0.23882,0.75591,0.95128,0.81125,0.90084,-0.027216,-0.10059,0.70013,0.89648,0.91987,0.99611
PGAP1,8,0.017029,0.061233,0.92487,0.99138,0.95117,0.97648,0.19358,0.70042,0.10564,0.39173,0.48367,0.99611
